CODE,ESYMBOL,EXCHANGE,GUSHU,GUSHUBIJIAO,NAME,REPORTDATE,RN,SCSTC27,SHANGQIGUSHU,SHANGQISHIZHI,SHANGQISHULIANG,SHIZHI,SHULIANG,SHULIANGBIJIAO,SNAME,stockid
1002142,002142,CNSESZ,382763582,-153594137,,2019-09-30,145,0.06452346,"53,636",13001311108.5399999795561,786,9649469902.21999994345,264,-522,宁波银行,002142
1002773,002773,CNSESZ,59134748,-21600105,,2019-09-30,146,0.06431437,"8,073",2630721397.3099999695694,273,1957609627.4800000124,22,-251,康弘药业,002773
0603010,603010,CNSESH,22185000,-3656782,,2019-09-30,147,0.06423514,"2,584",286585362.380000003972,16,261117450,6,-10,万盛股份,603010
0600779,600779,CNSESH,31352638,-25488292,,2019-09-30,148,0.06420728,"5,684",2888656062.60000002653741,223,1420901554.1599999962,25,-198,水井坊,600779
1002777,002777,CNSESZ,18686989,-10058266,,2019-09-30,149,0.06417235,"2,875",756000206.50000000572,79,674226563.12000000016,33,-46,久远银海,002777
1000338,000338,CNSESZ,278719484,-380088192,,2019-09-30,150,0.06409845,"65,881",8096746338.019999949953097,684,3127232610.48000000747,113,-571,潍柴动力,000338
0601166,601166,CNSESH,1253705003,-151677095,,2019-09-30,151,0.06391481,"140,538",25704438572.41999993118085,1211,21977448702.43999987133,820,-391,兴业银行,601166
1002384,002384,CNSESZ,102085144,-104993471,,2019-09-30,152,0.0635422,"20,708",3007153765.8300000030922,399,2007948919.1199999834,98,-301,东山精密,002384
1002185,002185,CNSESZ,173235916,127014504,,2019-09-30,153,0.0632247,"4,622",235266987.0800000093802,57,944135742.20000002905,38,-19,华天科技,002185
1002415,002415,CNSESZ,579517264,-111476024,,2019-09-30,154,0.06298932,"69,099",19057594883.060000111929678,983,18718407627.20000010802,448,-535,海康威视,002415
1000739,000739,CNSESZ,73840536,-180948322,,2019-09-30,155,0.06265512,"25,479",2504574474.14000002694801,147,873533540.879999997,21,-126,普洛药业,000739
0600536,600536,CNSESH,30959797,-18058353,,2019-09-30,156,0.06260034,"4,902",2630804110.5000000081796,288,2222294228.6599999799,93,-195,中国软件,600536
1002013,002013,CNSESZ,242975303,-261841727,,2019-09-30,157,0.06254473,"50,482",3473141166.400000082467,195,1581769222.5299999599,21,-174,中航机电,002013
1300274,300274,CNSESZ,89857832,-146575165,,2019-09-30,158,0.06229598,"23,643",2210648521.94999997933,302,1015393501.5999999924,44,-258,阳光电源,300274
1002614,002614,CNSESZ,38321764,-55552048,,2019-09-30,159,0.0622241,"9,387",1532020611.840000009959381,89,439933850.7200000006,11,-78,奥佳华,002614
